Expert,Ecological.Group,Strategy,NumSppScored
18,Wetland Species,S5,2
18,Wetland Species,S6,2
18,Wetland Species,S7,2
18,Wetland Species,S8,2
18,Wetland Species,S9,2
18,Wetland Species,S10,2
18,Wetland Species,S11,2
18,Wetland Species,S12,2
18,Wetland Species,S13,2
18,Wetland Species,S14,2
18,Wetland Species,S15,2
18,Wetland Species,S16,2
18,Wetland Species,S17,2
18,Wetland Species,S18,2
18,Wetland Species,S19,2
18,Wetland Species,S20,2
18,Wetland Species,S21,2
18,Wetland Species,S22,2
19,Riparian Species,Baseline,1
19,Riparian Species,S1,1
19,Riparian Species,S2,1
19,Riparian Species,S3,1
19,Riparian Species,S4,1
19,Riparian Species,S5,1
19,Riparian Species,S6,1
19,Riparian Species,S7,1
19,Riparian Species,S8,1
19,Riparian Species,S9,1
19,Riparian Species,S10,1
19,Riparian Species,S11,1
19,Riparian Species,S12,1
19,Riparian Species,S13,1
19,Riparian Species,S14,1
19,Riparian Species,S15,1
19,Riparian Species,S16,1
19,Riparian Species,S17,1
19,Riparian Species,S18,1
19,Riparian Species,S19,1
19,Riparian Species,S20,1
19,Riparian Species,S21,1
19,Riparian Species,S22,1
1,Migratory Fish,S23,1
5,"Grassland, Open, or Agricult Assoc",S23,1
5,Wetland Species,S23,2
15,"Grassland, Open, or Agricult Assoc",S23,1
16,Riparian Species,S23,3
16,"Grassland, Open, or Agricult Assoc",S23,3
18,"Grassland, Open, or Agricult Assoc",S23,1
18,Wetland Species,S23,2
19,Riparian Species,S23,1
